"iteration","a","b","cp","N","model","Sobel_z"
177,-0.3,-0.3,-0.2,100,2,1.40429779276669
178,-0.3,-0.3,-0.2,100,1,1.91807211220458
178,-0.3,-0.3,-0.2,100,2,0.868582181498501
179,-0.3,-0.3,-0.2,100,1,2.20715923491099
179,-0.3,-0.3,-0.2,100,2,-0.0730021113812717
180,-0.3,-0.3,-0.2,100,1,0.691712792994805
180,-0.3,-0.3,-0.2,100,2,0.362386220218421
181,-0.3,-0.3,-0.2,100,1,2.5268656051851
181,-0.3,-0.3,-0.2,100,2,-0.00465127320063472
182,-0.3,-0.3,-0.2,100,1,1.9476085616245
182,-0.3,-0.3,-0.2,100,2,1.70307064670945
183,-0.3,-0.3,-0.2,100,1,2.04764737057747
183,-0.3,-0.3,-0.2,100,2,0.131366343751515
184,-0.3,-0.3,-0.2,100,1,2.1747356407758
184,-0.3,-0.3,-0.2,100,2,0.533748871613655
185,-0.3,-0.3,-0.2,100,1,2.36715071305789
185,-0.3,-0.3,-0.2,100,2,0.00280037590050922
186,-0.3,-0.3,-0.2,100,1,0.935656325441805
186,-0.3,-0.3,-0.2,100,2,2.4305541001023
187,-0.3,-0.3,-0.2,100,1,2.34680321876338
187,-0.3,-0.3,-0.2,100,2,1.17380549490268
188,-0.3,-0.3,-0.2,100,1,1.57826456132012
188,-0.3,-0.3,-0.2,100,2,0.824958737502446
189,-0.3,-0.3,-0.2,100,1,1.67234352268388
189,-0.3,-0.3,-0.2,100,2,0.879240112429169
190,-0.3,-0.3,-0.2,100,1,1.48583942786861
190,-0.3,-0.3,-0.2,100,2,1.68547080655352
191,-0.3,-0.3,-0.2,100,1,1.52224569575481
191,-0.3,-0.3,-0.2,100,2,0.521375987970926
192,-0.3,-0.3,-0.2,100,1,1.10357642455681
192,-0.3,-0.3,-0.2,100,2,1.20619429635937
193,-0.3,-0.3,-0.2,100,1,2.28444763266447
193,-0.3,-0.3,-0.2,100,2,1.07579409612185
194,-0.3,-0.3,-0.2,100,1,2.38360701097339
194,-0.3,-0.3,-0.2,100,2,2.13550078278872
195,-0.3,-0.3,-0.2,100,1,1.90888766590504
195,-0.3,-0.3,-0.2,100,2,0.575274196357228
196,-0.3,-0.3,-0.2,100,1,2.41507728658209
196,-0.3,-0.3,-0.2,100,2,0.947551661247044
197,-0.3,-0.3,-0.2,100,1,2.65390707351474
197,-0.3,-0.3,-0.2,100,2,1.43066913071249
198,-0.3,-0.3,-0.2,100,1,1.76217491605218
198,-0.3,-0.3,-0.2,100,2,-0.563640101636825
199,-0.3,-0.3,-0.2,100,1,1.90398804837872
199,-0.3,-0.3,-0.2,100,2,0.813300206707856
200,-0.3,-0.3,-0.2,100,1,1.67602265242948
200,-0.3,-0.3,-0.2,100,2,-0.531625769072153
201,-0.3,-0.3,-0.2,100,1,0.894927800714107
201,-0.3,-0.3,-0.2,100,2,-0.723209387769348
202,-0.3,-0.3,-0.2,100,1,0.785584675919288
202,-0.3,-0.3,-0.2,100,2,1.27074343784112
203,-0.3,-0.3,-0.2,100,1,1.71078143603367
203,-0.3,-0.3,-0.2,100,2,2.04283872448913
204,-0.3,-0.3,-0.2,100,1,0.665853618103953
204,-0.3,-0.3,-0.2,100,2,2.24085910970329
205,-0.3,-0.3,-0.2,100,1,1.34677619854611
205,-0.3,-0.3,-0.2,100,2,0.901134618830181
206,-0.3,-0.3,-0.2,100,1,1.58216486789902
206,-0.3,-0.3,-0.2,100,2,0.148656873343917
207,-0.3,-0.3,-0.2,100,1,1.47334885714111
207,-0.3,-0.3,-0.2,100,2,0.00847171624928797
208,-0.3,-0.3,-0.2,100,1,2.25653015388769
208,-0.3,-0.3,-0.2,100,2,0.0256642991547281
209,-0.3,-0.3,-0.2,100,1,1.16827938639106
209,-0.3,-0.3,-0.2,100,2,0.878094716596512
210,-0.3,-0.3,-0.2,100,1,2.1009562399071
210,-0.3,-0.3,-0.2,100,2,0.36538499053995
211,-0.3,-0.3,-0.2,100,1,2.58156165170971
211,-0.3,-0.3,-0.2,100,2,0.206082464590326
212,-0.3,-0.3,-0.2,100,1,3.29561178527057
212,-0.3,-0.3,-0.2,100,2,1.81682640044617
213,-0.3,-0.3,-0.2,100,1,3.15733742147074
213,-0.3,-0.3,-0.2,100,2,-0.0398238474660786
214,-0.3,-0.3,-0.2,100,1,1.90240568858933
214,-0.3,-0.3,-0.2,100,2,1.29599874672965
215,-0.3,-0.3,-0.2,100,1,2.21954241691807
215,-0.3,-0.3,-0.2,100,2,0.610914724691346
216,-0.3,-0.3,-0.2,100,1,1.75474870423703
216,-0.3,-0.3,-0.2,100,2,-0.745949294455187
217,-0.3,-0.3,-0.2,100,1,1.6615499914242
217,-0.3,-0.3,-0.2,100,2,1.4021069972007
218,-0.3,-0.3,-0.2,100,1,1.76004743504402
218,-0.3,-0.3,-0.2,100,2,1.327862570042
219,-0.3,-0.3,-0.2,100,1,2.7778774296946
219,-0.3,-0.3,-0.2,100,2,-0.793209767364459
220,-0.3,-0.3,-0.2,100,1,1.99720228077397
220,-0.3,-0.3,-0.2,100,2,1.10913856123456
221,-0.3,-0.3,-0.2,100,1,0.747160409934962
221,-0.3,-0.3,-0.2,100,2,0.99990529566918
222,-0.3,-0.3,-0.2,100,1,2.32978535736624
222,-0.3,-0.3,-0.2,100,2,1.38637855485946
223,-0.3,-0.3,-0.2,100,1,2.23276218963017
223,-0.3,-0.3,-0.2,100,2,0.684135355175475
224,-0.3,-0.3,-0.2,100,1,1.83319155456408
224,-0.3,-0.3,-0.2,100,2,1.22670709755912
225,-0.3,-0.3,-0.2,100,1,1.18337324033872
225,-0.3,-0.3,-0.2,100,2,-0.960837415472368
226,-0.3,-0.3,-0.2,100,1,1.40297073380581
226,-0.3,-0.3,-0.2,100,2,1.24362485781785
227,-0.3,-0.3,-0.2,100,1,2.05918988200756
227,-0.3,-0.3,-0.2,100,2,0.858812775876402
228,-0.3,-0.3,-0.2,100,1,1.38804441407814
228,-0.3,-0.3,-0.2,100,2,1.07443923998161
229,-0.3,-0.3,-0.2,100,1,1.62885208959375
229,-0.3,-0.3,-0.2,100,2,-0.262470190072286
230,-0.3,-0.3,-0.2,100,1,1.97398931869744
230,-0.3,-0.3,-0.2,100,2,2.2481356119645
231,-0.3,-0.3,-0.2,100,1,1.35497950788886
231,-0.3,-0.3,-0.2,100,2,0.971205801098053
232,-0.3,-0.3,-0.2,100,1,2.12599941566705
232,-0.3,-0.3,-0.2,100,2,1.06395639222111
233,-0.3,-0.3,-0.2,100,1,0.474169827099423
233,-0.3,-0.3,-0.2,100,2,0.427045386786972
234,-0.3,-0.3,-0.2,100,1,1.17900780564923
234,-0.3,-0.3,-0.2,100,2,0.992566036311905
235,-0.3,-0.3,-0.2,100,1,2.2105407615143
235,-0.3,-0.3,-0.2,100,2,0.526737281179136
236,-0.3,-0.3,-0.2,100,1,2.17920211820403
236,-0.3,-0.3,-0.2,100,2,1.97664230417419
237,-0.3,-0.3,-0.2,100,1,2.06586071906934
237,-0.3,-0.3,-0.2,100,2,0.0625309085676614
238,-0.3,-0.3,-0.2,100,1,2.36070537397454
238,-0.3,-0.3,-0.2,100,2,0.492740746979919
239,-0.3,-0.3,-0.2,100,1,2.39486870653791
